data           1
dm             1.0
dm_em          0.101*2./3.
dm_ll          0.101

qq_cH_WZ       1.*(0.101*3*0.1086)
qq_cH_WW       0.1*(3*0.1086*3*0.1086)

znng40130      2.8060*1.4
znng130        0.1903*1.4
zllg130        0.1487*1.4
wlng130        0.6637*1.4

dy1050_1j       729.726349
dy1050_2j       387.472359
dy1050_3j        95.033555
dy1050_4j        36.698502
dy50_1j        1012.296845
dy50_2j         334.717838
dy50_3j         102.462800
dy50_4j          54.481360

dyll_pt050To100 357.200
dyll_pt100To250 81.2000
dyll_pt250To400 3.06200
dyll_pt400To650 0.39050
dyll_pt650ToInf 0.03613

zll50_emu      2008.4*(0.1739+0.1782)*(0.1739+0.1782)
wln            20508.9*3
dynunu         3811.0
zll50          2008.4*3
zll20          3205.6*3
zll1050        2008.4*3*3.78
ww_dps         1.62000
wwlnln_dps     0.1729
ww             118.7
wwlnln         (118.7-3.974)*0.1086*0.1086*9
ggwwlnln       3.974*0.1086*0.1086*9*1.4
ggwwlnln_int   3.974*0.1086*0.1086*9*1.87*1.62
wgslmm         2.793
wgslee         3.526
wz1l1n2q4      10.71*1.109
wz1l3n4        3.033*1.109
wz2q2l4        5.595*1.109
wz3ln4_powheg  4.42965*1.109
wz3ln4_amcnlo  4.715*1.109
wz3ln1_powheg  58.59*1.109*0.60
wz12           (0.1427+0.0921)/0.1086/(0.101/3.)*1.109
wz40           (0.1060+0.0663)/0.1086/(0.101/3.)*1.109
zz4l4          1.256
zz2l2n4        0.564
zz2l2q4        3.220*1.1
zz12           31.831
zz40           16.523
ggzz2e2mu      0.003194*2.3
ggzz2e2tau     0.003194*2.3
ggzz2mu2tau    0.003194*2.3
ggzz4e         0.001586*2.3
ggzz4mu        0.001586*2.3
ggzz4tau       0.001586*2.3
ggzz2mu2nu     0.001720*2.3
ggzz2e2nu      0.001720*2.3
wlg            489.0
zllg           123.9*1.06
tt             831.76
tt2l           831.76*0.1086*0.1086*9
ttqql          831.76*0.1086*3*(1-0.1086*3)*2
tw             35.6
tbarw          35.6
twAll          71.2
tzqll          0.0758
tzqnn          0.1379
wwg            0.2147
zzz            0.01398
wzz            0.05565
wwz            0.16510
www            0.2086
ttg            1.444*3.2
ttzqq          0.5297
ttzlnln        0.2529
ttwln          0.2043
ttwqq          0.4062
qqzllh125      0.8839*0.101
zeehinv110     (0.8839-0.1227)*0.101/3.
zeehinv125     (0.8839-0.1227)*0.101/3.
zeehinv150     (0.8839-0.1227)*0.101/3.
zeehinv200     (0.8839-0.1227)*0.101/3.
zeehinv300     (0.8839-0.1227)*0.101/3.
zeehinv400     (0.8839-0.1227)*0.101/3.
zeehinv500     (0.8839-0.1227)*0.101/3.
zeehinv600     (0.8839-0.1227)*0.101/3.
zeehinv800     (0.8839-0.1227)*0.101/3.
zeehinv1000    (0.8839-0.1227)*0.101/3.
zmmhinv110     (0.8839-0.1227)*0.101/3.
zmmhinv125     (0.8839-0.1227)*0.101/3.
zmmhinv150     (0.8839-0.1227)*0.101/3.
zmmhinv200     (0.8839-0.1227)*0.101/3.
zmmhinv300     (0.8839-0.1227)*0.101/3.
zmmhinv400     (0.8839-0.1227)*0.101/3.
zmmhinv500     (0.8839-0.1227)*0.101/3.
zmmhinv600     (0.8839-0.1227)*0.101/3.
zmmhinv800     (0.8839-0.1227)*0.101/3.
zmmhinv1000    (0.8839-0.1227)*0.101/3.
ggzllhinv125    0.1227*0.101/3.
gghwwlnln125   48.580*0.2150*0.1086*0.1086*9
vbfhwwlnln125  3.7820*0.2150*0.1086*0.1086*9 
zhww125        (0.8839-0.1227)*0.2150 
ggzhww125      0.1227*0.2150
ggzhww125_fake 0.1227*0.101
ggzhinv125     0.1227*0.101
wphww125       0.8400*0.2150 
wmhww125       0.5328*0.2150 
gghtautau125   48.580*0.0632
vbfhtautau125  3.7820*0.0632 
zhtautau125    (0.8839-0.1227)*0.0632
ggzhtautau125  (0.8839-0.1227)*0.0632*0.05
wphtautau125   0.8400*0.0632
wmhtautau125   0.5328*0.0632
gghzz4l125     48.580*0.0264*0.101*0.101 
vbfhzz4l125    3.7820*0.0264*0.101*0.101
wphzz4l125     0.8400*0.0264*0.101*0.101
wmhzz4l125     0.5328*0.0264*0.101*0.101
tthnob125      0.5071*(1-0.577)
vhnob125       (0.8839+0.8400+0.5328)*(1-0.577)

gjets40_100    20730
gjets100_200   9226
gjets200_400   2300
gjets400_600   277.4
gjets600       93.38

wpwp_ewk_qcd   0.0538980
wpwp_ewk       0.0269642
wpwp_qcd       0.0261515
wmwm_ewk_pwg   0.0078680
wpwp_ewk_pwg   0.0209300
wzjj_ewk_qcd   0.489100
wzjj_ewk       0.039000
wzjj_qcd       0.458500

wpwmjj_ewk_qcd_notop 2.66300
wpwmjj_ewk_notop     0.34520
wpwmjj_qcd_notop     2.42300

zzjj_ewk          0.0004452
zzjj_qcd          0.0093081
#wlljj60_ewk_qcd   0.52950
#wlljj60_ewk       0.04634
#wlljj4_60_ewk_qcd 0.40860
wlgjj             5.6624279

wlljj60_ewk       0.0176340
wz3l_0j50         0.5770677*1.206
wz3l_1j50         0.3445573*1.206
wz3l_2j50         0.0768421*1.206
wz3l_3j50         0.1112010*1.206
wlljj4_60_ewk     0.0054845
wz3l_0j4_50       2.3011202*1.206
wz3l_1j4_50       0.5291347*1.206
wz3l_2j4_50       0.0819247*1.206
wz3l_3j4_50       0.0508602*1.206
